sample,group,Genotype,GID,plate_code,well,Lote,is_hybrid,total_markers,valid_calls,het_calls,homo_calls,failed_calls,het_rate,call_rate,fail_rate,concordance,purity_status,purity_reason
F6603 - P1G3,F5,F5,53002,F6603,P1G3,L-99-1,True,9910,9726,3214,6512,184,0.3304544519843718,0.9814328960645813,0.018567103935418768,0.9985605593255192,PASS,OK
F6603 - P1G4,F5,F5,53002,F6603,P1G4,L-99-1,True,9910,9706,3242,6464,204,0.3340201936946219,0.9794147325933401,0.02058526740665994,0.9984545641871008,PASS,OK
F6603 - P1H3,F5,F5,53002,F6603,P1H3,L-99-1,True,9910,9709,3201,6508,201,0.329694098259347,0.9797174571140262,0.020282542885973764,0.9978370583994232,PASS,OK
F6604 - P1A5,F5,F5,53002,F6604,P1A5,L-99-1,True,9910,9698,3241,6457,212,0.3341926170344401,0.9786074672048436,0.02139253279515641,0.9982470612497422,PASS,OK
F6604 - P1A6,F5,F5,53002,F6604,P1A6,L-99-1,True,9910,9662,997,8665,248,0.10318774580832125,0.9749747729566095,0.025025227043390514,0.9310701718070793,FAIL,low heterozygosity for hybrid (10.3%; expected >20%)
F6604 - P1B5,F5,F5,53002,F6604,P1B5,L-99-1,True,9910,9723,3237,6486,187,0.33292193767355754,0.981130171543895,0.018869828456104944,0.9978401727861771,PASS,OK
F6604 - P1C5,F5,F5,53002,F6604,P1C5,L-99-1,True,9910,9713,3073,6640,197,0.316380109132091,0.9801210898082745,0.01987891019172553,0.9929990734067744,PASS,OK
F6604 - P1D5,F5,F5,53002,F6604,P1D5,L-99-1,True,9910,9729,3207,6522,181,0.3296330558125193,0.9817356205852674,0.018264379414732593,0.9516908212560387,PASS,OK
F6604 - P1E5,F5,F5,53002,F6604,P1E5,L-99-1,True,9910,9721,3214,6507,189,0.3306244213558276,0.9809283551967709,0.019071644803229062,0.9983540787984775,PASS,OK
F6604 - P1F5,F5,F5,53002,F6604,P1F5,L-99-1,True,9910,9646,572,9074,264,0.05929919137466307,0.9733602421796166,0.026639757820383452,0.9139539705577442,FAIL,low heterozygosity for hybrid (5.9%; expected >20%)
F6604 - P1G5,F5,F5,53002,F6604,P1G5,L-99-1,True,9910,9720,3281,6439,190,0.33755144032921813,0.9808274470232089,0.01917255297679112,0.9983539094650206,PASS,OK
F6604 - P1H4,F5,F5,53002,F6604,P1H4,L-99-1,True,9910,9666,862,8804,244,0.08917856403889923,0.9753784056508578,0.02462159434914228,0.9282019449617215,FAIL,low heterozygosity for hybrid (8.9%; expected >20%)
F6604 - P1H5,F5,F5,53002,F6604,P1H5,L-99-1,True,9910,9722,3231,6491,188,0.3323390248919975,0.981029263370333,0.018970736629667004,0.9980456696153055,PASS,OK
F6605 - P1A7,F5,F5,53002,F6605,P1A7,L-99-1,True,9910,9692,1180,8512,218,0.12174989682212134,0.9780020181634712,0.02199798183652876,0.9417044985555098,FAIL,low heterozygosity for hybrid (12.2%; expected >20%)
F6605 - P1B6,F5,F5,53002,F6605,P1B6,L-99-1,True,9910,9699,3013,6686,211,0.3106505825342819,0.9787083753784056,0.021291624621594347,0.9858748324569543,PASS,OK
F6605 - P1B7,F5,F5,53002,F6605,P1B7,L-99-1,True,9910,9733,3260,6473,177,0.3349429774992294,0.9821392532795157,0.01786074672048436,0.998458851330525,PASS,OK
F6605 - P1C6,F5,F5,53002,F6605,P1C6,L-99-1,True,9910,9715,3206,6509,195,0.33000514668039116,0.9803229061553986,0.019677093844601413,0.997838394235718,PASS,OK
F6605 - P1C7,F5,F5,53002,F6605,P1C7,L-99-1,True,9910,9730,3270,6460,180,0.33607399794450155,0.9818365287588294,0.018163471241170535,0.9978417266187051,PASS,OK
F6605 - P1D6,F5,F5,53002,F6605,P1D6,L-99-1,True,9910,9735,3092,6643,175,0.3176168464304058,0.9823410696266398,0.017658930373360242,0.9793528505392912,PASS,OK
F6605 - P1E6,F5,F5,53002,F6605,P1E6,L-99-1,True,9910,9708,3121,6587,202,0.3214874330449114,0.9796165489404641,0.02038345105953582,0.9958796868562011,PASS,OK
F6605 - P1F6,F5,F5,53002,F6605,P1F6,L-99-1,True,9910,9730,3216,6514,180,0.3305241521068859,0.9818365287588294,0.018163471241170535,0.9982528263103803,PASS,OK
F6605 - P1G6,F5,F5,53002,F6605,P1G6,L-99-1,True,9910,9708,3248,6460,202,0.334569427276473,0.9796165489404641,0.02038345105953582,0.9974248042851257,PASS,OK
F6605 - P1H6,F5,F5,53002,F6605,P1H6,L-99-1,True,9910,9732,3201,6531,178,0.3289149198520345,0.9820383451059536,0.017961654894046417,0.9982531853678586,PASS,OK
F6606 - P1A8,F5,F5,53002,F6606,P1A8,L-99-1,True,9910,9742,3285,6457,168,0.3371997536440156,0.9830474268415742,0.016952573158425834,0.9978443851365223,PASS,OK
F6606 - P1B8,F5,F5,53002,F6606,P1B8,L-99-1,True,9910,9703,3178,6525,207,0.32752756879315675,0.9791120080726539,0.020887991927346115,0.9973204163660724,PASS,OK
F6606 - P1C8,F5,F5,53002,F6606,P1C8,L-99-1,True,9910,9735,2647,7088,175,0.2719054956343092,0.9823410696266398,0.017658930373360242,0.9448382126348228,PASS,OK
F6606 - P1D7,F5,F5,53002,F6606,P1D7,L-99-1,True,9910,9725,3217,6508,185,0.33079691516709514,0.9813319878910192,0.01866801210898083,0.9981491002570694,PASS,OK
F6606 - P1D8,F5,F5,53002,F6606,P1D8,L-99-1,True,9910,9733,3215,6518,177,0.33031953149080445,0.9821392532795157,0.01786074672048436,0.9985615945751567,PASS,OK
F6606 - P1E7,F5,F5,53002,F6606,P1E7,L-99-1,True,9910,9729,3243,6486,181,0.3333333333333333,0.9817356205852674,0.018264379414732593,0.9977387192928359,PASS,OK
F6606 - P1E8,F5,F5,53002,F6606,P1E8,L-99-1,True,9910,9718,3260,6458,192,0.33545997118748716,0.9806256306760848,0.019374369323915237,0.9960897303972011,PASS,OK
F6606 - P1F7,F5,F5,53002,F6606,P1F7,L-99-1,True,9910,9725,3259,6466,185,0.33511568123393315,0.9813319878910192,0.01866801210898083,0.9983547557840617,PASS,OK
F6606 - P1G7,F5,F5,53002,F6606,P1G7,L-99-1,True,9910,9714,3097,6617,196,0.31881820053530985,0.9802219979818365,0.01977800201816347,0.9959851760345892,PASS,OK
F6606 - P1H7,F5,F5,53002,F6606,P1H7,L-99-1,True,9910,9674,1015,8659,236,0.1049204052098408,0.9761856710393542,0.023814328960645812,0.9349803597271036,FAIL,low heterozygosity for hybrid (10.5%; expected >20%)
F6607 - P1A9,F5,F5,53002,F6607,P1A9,L-99-1,True,9910,9692,3181,6511,218,0.32820883202641354,0.9780020181634712,0.02199798183652876,0.9985555096987206,PASS,OK
F6607 - P1B9,F5,F5,53002,F6607,P1B9,L-99-1,True,9910,9713,3198,6515,197,0.32924945948728507,0.9801210898082745,0.01987891019172553,0.9980438587460105,PASS,OK
F6607 - P1C9,F5,F5,53002,F6607,P1C9,L-99-1,True,9910,9679,1335,8344,231,0.1379274718462651,0.9766902119071644,0.02330978809283552,0.9474119227192892,FAIL,low heterozygosity for hybrid (13.8%; expected >20%)
F6607 - P1D9,F5,F5,53002,F6607,P1D9,L-99-1,True,9910,9744,3251,6493,166,0.33364121510673234,0.9832492431886983,0.016750756811301715,0.9367816091954023,PASS,OK
F6607 - P1E9,F5,F5,53002,F6607,P1E9,L-99-1,True,9910,9650,766,8884,260,0.07937823834196892,0.9737638748738647,0.026236125126135216,0.9222797927461139,FAIL,low heterozygosity for hybrid (7.9%; expected >20%)
F6607 - P1F8,F5,F5,53002,F6607,P1F8,L-99-1,True,9910,9730,3263,6467,180,0.3353545734840699,0.9818365287588294,0.018163471241170535,0.9978417266187051,PASS,OK
F6607 - P1F9,F5,F5,53002,F6607,P1F9,L-99-1,True,9910,9719,3166,6553,191,0.3257536783619714,0.9807265388496468,0.01927346115035318,0.9976335013890318,PASS,OK
F6607 - P1G8,F5,F5,53002,F6607,P1G8,L-99-1,True,9910,9663,897,8766,247,0.09282831418814033,0.9750756811301715,0.024924318869828457,0.9267308289351133,FAIL,low heterozygosity for hybrid (9.3%; expected >20%)
F6607 - P1G9,F5,F5,53002,F6607,P1G9,L-99-1,True,9910,9676,1299,8377,234,0.13424968995452666,0.9763874873864783,0.023612512613521694,0.9472922695328648,FAIL,low heterozygosity for hybrid (13.4%; expected >20%)
F6607 - P1H8,F5,F5,53002,F6607,P1H8,L-99-1,True,9910,9664,1076,8588,246,0.111341059602649,0.9751765893037336,0.024823410696266396,0.9383278145695364,FAIL,low heterozygosity for hybrid (11.1%; expected >20%)
F6608 - P1A10,F5,F5,53002,F6608,P1A10,L-99-1,True,9910,9670,3069,6601,240,0.3173733195449845,0.9757820383451059,0.024217961654894045,0.9940020682523267,PASS,OK
F6608 - P1A11,F5,F5,53002,F6608,P1A11,L-99-1,True,9910,9729,3314,6415,181,0.3406311028882722,0.9817356205852674,0.018264379414732593,0.9978415047795252,PASS,OK
F6608 - P1B10,F5,F5,53002,F6608,P1B10,L-99-1,True,9910,9719,3259,6460,191,0.3353225640497994,0.9807265388496468,0.01927346115035318,0.9981479576088075,PASS,OK
F6608 - P1C10,F5,F5,53002,F6608,P1C10,L-99-1,True,9910,9666,638,9028,244,0.0660045520380716,0.9753784056508578,0.02462159434914228,0.9141320091040761,FAIL,low heterozygosity for hybrid (6.6%; expected >20%)
F6608 - P1D10,F5,F5,53002,F6608,P1D10,L-99-1,True,9910,9735,3228,6507,175,0.33158705701078584,0.9823410696266398,0.017658930373360242,0.9980482794042116,PASS,OK
F6608 - P1E10,F5,F5,53002,F6608,P1E10,L-99-1,True,9910,9709,3230,6479,201,0.33268101761252444,0.9797174571140262,0.020282542885973764,0.9986610361520238,PASS,OK
F6608 - P1F10,F5,F5,53002,F6608,P1F10,L-99-1,True,9910,9653,901,8752,257,0.093338858385994,0.974066599394551,0.02593340060544904,0.9287268206775096,FAIL,low heterozygosity for hybrid (9.3%; expected >20%)
