Index,Title,Video ID,URL,Duration (sec),Upload Date
1,"Lightning Over the Bay - Timelapse from the Lawrence Hall of Science - Aug. 16, 2020",NgfpR3NT9M8,https://www.youtube.com/watch?v=NgfpR3NT9M8,121,
2,"Nov. 6, 2016 - Timelapse from the Lawrence Hall of Science (Mars in the Bay Area Sky)",Q_4l5m2r9xA,https://www.youtube.com/watch?v=Q_4l5m2r9xA,126,
3,"Oct. 7, 2016 - Timelapse from the Lawrence Hall of Science (Fleet Week)",hOvbWlaWvWI,https://www.youtube.com/watch?v=hOvbWlaWvWI,121,
4,"Sept. 18, 2016 - Timelapse from the Lawrence Hall of Science",4gWA6eOlsi4,https://www.youtube.com/watch?v=4gWA6eOlsi4,87,
5,"Oct. 1, 2012 - Timelapse from the Lawrence Hall of Science (Blackout)",EYVLmKAXH-k,https://www.youtube.com/watch?v=EYVLmKAXH-k,121,
6,"April 12, 2012 - Timelapse from the Lawrence Hall of Science (Rare Bay Area Thunderstorm)",z1fbzOtoX04,https://www.youtube.com/watch?v=z1fbzOtoX04,121,
7,"Oct. 5, 2011 - Timelapse from the Lawrence Hall of Science",fKCTLCbFfQg,https://www.youtube.com/watch?v=fKCTLCbFfQg,121,
8,"Feb 16, 2011 - Timelapse from Lawrence Hall of Science",wMwW7lxaXCc,https://www.youtube.com/watch?v=wMwW7lxaXCc,121,
9,"Jan. 18, 2011 - Timelapse from Lawrence Hall of Science",QJjHL-bc5w0,https://www.youtube.com/watch?v=QJjHL-bc5w0,120,
10,"Jan. 17, 2011 - Timelapse from Lawrence Hall of Sciene",HdqdDzsK2ww,https://www.youtube.com/watch?v=HdqdDzsK2ww,121,
11,"Dec. 29, 2010 - Timelapse from Lawrence Hall of Science",pGJJipDZhSc,https://www.youtube.com/watch?v=pGJJipDZhSc,120,
12,"March 3, 2010 - Timelapse from the Lawrence Hall of Science",oHHHusXtN2o,https://www.youtube.com/watch?v=oHHHusXtN2o,121,
13,"Jan. 20, 2010 - Timelapse from Lawrence Hall of Science",Dd16oiM26Eg,https://www.youtube.com/watch?v=Dd16oiM26Eg,121,
14,"Oct. 19, 2009 - Timelapse from the Lawrence Hall of Science",gC6b3Xd5hs4,https://www.youtube.com/watch?v=gC6b3Xd5hs4,121,
15,"May 26, 2009 - Timelapse from Lawrence Hall of Science",IgD2xblkg5Y,https://www.youtube.com/watch?v=IgD2xblkg5Y,121,
16,"April 26, 2009 - Timelapse from the Lawrence Hall of Science",gAGkLVKxvaU,https://www.youtube.com/watch?v=gAGkLVKxvaU,121,
17,"April 8, 2009 - Timelapse from the Lawrence Hall of Science",7Brxk_aPGd8,https://www.youtube.com/watch?v=7Brxk_aPGd8,121,
18,"Feb. 12, 2009 - Timelapse from Lawrence Hall of Science",80GexRV8KzM,https://www.youtube.com/watch?v=80GexRV8KzM,121,
19,"Feb. 10, 2009 - Timelapse from Lawrence Hall of Science",sLRFH4ZQQgI,https://www.youtube.com/watch?v=sLRFH4ZQQgI,121,
20,Nov. 30 2008 - Timelapse from the Lawrence Hall of Science,0qKa-NQBznc,https://www.youtube.com/watch?v=0qKa-NQBznc,121,
21,"Nov. 24, 2008 - Timelapse from Lawrence Hall of Science",L9Jr7QWzsJU,https://www.youtube.com/watch?v=L9Jr7QWzsJU,121,
22,"Oct. 13, 2008 - Timelapse from Lawrence Hall of Science",07HsZ1kc8CY,https://www.youtube.com/watch?v=07HsZ1kc8CY,67,
23,"Sept. 25, 2008 - Timelapse from the Lawrence Hall of Scien",etHHX8dBzbU,https://www.youtube.com/watch?v=etHHX8dBzbU,121,
24,"Aug. 28, 2008 - Timelapse from Lawrence Hall of Science",eyKq0HDwAc8,https://www.youtube.com/watch?v=eyKq0HDwAc8,121,
25,July 31 2008 - Timelapse from Lawrence Hall of Science,s6OPTa9VRJE,https://www.youtube.com/watch?v=s6OPTa9VRJE,121,
26,"June 25, 2008 - Timelapse from Lawrence Hall of Science",4Ni3UV76-pU,https://www.youtube.com/watch?v=4Ni3UV76-pU,120,
27,"May 19, 2008 - Timelapse from Lawrence Hall of Science",_wW67eqBZFA,https://www.youtube.com/watch?v=_wW67eqBZFA,121,
28,"April 28, 2008 - Timelapse from the Lawrence Hall of Science",J37JYpbETEg,https://www.youtube.com/watch?v=J37JYpbETEg,25,
29,"April 20, 2008 - Timelapse from the Lawrence Hall of Science",eJ1vIoHVhJw,https://www.youtube.com/watch?v=eJ1vIoHVhJw,121,
30,"Jan. 23, 2008 - Timelapse from Lawrence Hall of Science",3A132AK0LYI,https://www.youtube.com/watch?v=3A132AK0LYI,121,
