"HETER_GROUP","REC_PARENT","FORMED_GEN","NOTE_AA_text","QPM_ZN_DONOR","Reference","SOWDATE","YEARCODE","ACCNAME","HARVDATE","PRODSEASON","PRODLOC","PLOTS_IN_TRIAL","ACTION","LNAME","PED","Group Source Preferred Name","Group Source GID","Method Code","Male Parent Preferred Name","Immediate Source Name","Immediate Source GID","Male Parent GID","Units","Lots","Location","Available","Creation Date","Method Group","Method Number","PreferredID","Breeding Method Name","Female Parent Preferred Name","Preferred Name","Location Abbr","GroupID","Cross","GUID","Female Parent GID","GID"
,"CLWQHZN19","increase",,,"","20170413","X13","X1G01U00013","20170822","2017B","centro","SN17B03","selfed","CLWQHZN19","CLWQHZN19","-","-","NSI","","-","-","","SEED_AMOUNT_No","1","SN Centro Experimental","666","20170822","G","61","","Seed increase","","X1G01U00013","CE","0","X1G01U00013","2QEDGKtSVMRgy","","1"
,"CLWNHZN44","increase","Se uso en incremento F17",,"","20170413","X14","X1G01U00014","20170822","2017B","centro","SN17B07","selfed","CLWNHZN44","CLWNHZN44","-","-","NSI","","-","-","","","0","SN Centro Experimental","0","20170822","G","61","","Seed increase","","X1G01U00014","CE","0","X1G01U00014","2QEDGBgWhvNQG","","2"
,"CLWQHZN69","increase",,,"","20170413","X15","X1G01U00015","20170822","2017B","centro","SN17B10","selfed","CLWQHZN69","CLWQHZN69","-","-","NSI","","-","-","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","61","","Seed increase","","X1G01U00015","CE","0","X1G01U00015","2QEDG1Mb0lN37","","3"
,"CLWQHZN19","increase",,,"","20170413","X16","X1G01U00016","20170822","2017B","centro","SN17B14","selfed","CLWQHZN19","CLWQHZN19","-","-","NSI","","-","-","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","61","","Seed increase","","X1G01U00016","CE","0","X1G01U00016","2QEDG76EGQjWx","","4"
,"CLWNHZN43","increase","Se uso en incremento F17",,"","20170413","X17","X1G01U00017","20170822","2017B","centro","SN17B18","selfed","CLWNHZN43","CLWNHZN43","-","-","NSI","","-","-","","","0","SN Centro Experimental","0","20170822","G","61","","Seed increase","","X1G01U00017","CE","0","X1G01U00017","2QEDGbSadSuEo","","5"
,"CLWQHZN69","increase",,,"","20170413","X18","X1G01U00018","20170822","2017B","centro","SN17B21","selfed","CLWQHZN69","CLWQHZN69","-","-","NSI","","-","-","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","61","","Seed increase","","X1G01U00018","CE","0","X1G01U00018","2QEDGtWT1HSms","","6"
,"CML576","increase","Se uso en incremento F17",,"","20170413","X19","X1G01U00019","20170822","2017B","centro","SN17B25","selfed","CML576","(CLFAWW11/CML494)-B-24-2-2-B-B-1-B-8-B-B","-","-","NSI","","-","-","","","0","SN Centro Experimental","0","20170822","G","61","","Seed increase","","X1G01U00019","CE","0","X1G01U00019","2QEDGSG9bH6JL","","7"
,"CLWQHZN46","increase",,,"","20170413","X20","X1G01U00020","20170822","2017B","centro","SN17B28","selfed","CLWQHZN46","CLWQHZN46","-","-","NSI","","-","-","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","61","","Seed increase","","X1G01U00020","CE","0","X1G01U00020","2QEDGvLkQpnt9","","8"
,"CLWQHZN19","BC0F1",,"CLWQHZN46","","20170413","X1","X1G01U00001","20170822","2017B","centro","SN17B3x28","cross","SNHBKWZ22400","CLWQHZN19/CLWQHZN46","-","-","BCR","X1G01U00020","-","-","8","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","107","","Backcross","X1G01U00013","X1G01U00001","CE","0","X1G01U00013/X1G01U00020","2QEDGJ6thYAbZ","1","9"
,"CLWQHZN19","BC0F1",,"CLWNHZN44","","20170413","X2","X1G01U00002","20170822","2017B","centro","SN17B3x7","cross","SNHBKWZ22401","CLWQHZN19/CLWNHZN44
","-","-","BCR","X1G01U00014","-","-","2","","0","SN Centro Experimental","0","20170822","G","107","","Backcross","X1G01U00013","X1G01U00002","CE","0","X1G01U00013/X1G01U00014","2QEDGhk6DGheu","1","10"
,"CLWNHZN44","BC0F1",,"CLWQHZN19","","20170413","X3","X1G01U00003","20170822","2017B","centro","SN17B7x3","cross","SNHBKWZ22402","CLWNHZN44/CLWQHZN19","-","-","BCR","X1G01U00013","-","-","1","","0","SN Centro Experimental","0","20170822","G","107","","Backcross","X1G01U00014","X1G01U00003","CE","0","X1G01U00014/X1G01U00013","2QEDGbznsE0h9","2","11"
,"CLWNHZN44","BC0F1",,"CLWQHZN69","","20170413","X4","X1G01U00004","20170822","2017B","centro","SN17B7x10","cross","SNHBKWZ22403","CLWNHZN44/CLWQHZN69","-","-","BCR","X1G01U00015","-","-","3","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","107","","Backcross","X1G01U00014","X1G01U00004","CE","0","X1G01U00014/X1G01U00015","2QEDGKPSzQon6","2","12"
,"CLWQHZN69","BC0F1",,"CLWNHZN44","","20170413","X5","X1G01U00005","20170822","2017B","centro","SN17B10x7","cross","SNHBKWZ22404","CLWQHZN69/CLWNHZN44","-","-","BCR","X1G01U00014","-","-","2","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","107","","Backcross","X1G01U00015","X1G01U00005","CE","0","X1G01U00015/X1G01U00014","2QEDGHvce19Qf","3","13"
,"CLWQHZN69","BC0F1",,"CLWQHZN46","","20170413","X6","X1G01U00006","20170822","2017B","centro","SN17B10x28","cross","SNHBKWZ22405","CLWQHZN69/CLWQHZN46","-","-","BCR","X1G01U00020","-","-","8","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","107","","Backcross","X1G01U00015","X1G01U00006","CE","0","X1G01U00015/X1G01U00020","2QEDGXsFSPHfZ","3","14"
,"CLWQHZN19","BC0F1",,"CLWNHZN43","","20170413","X7","X1G01U00007","20170822","2017B","centro","SN17B14x18","cross","SNHBKWZ22406","CLWQHZN19/CLWNHZN43
","-","-","BCR","X1G01U00017","-","-","5","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","107","","Backcross","X1G01U00013","X1G01U00007","CE","0","X1G01U00013/X1G01U00017","2QEDGaLGErcUn","1","15"
,"CLWQHZN19","BC0F1",,"CLWQHZN46","","20170413","X8","X1G01U00008","20170822","2017B","centro","SN17B14x28","cross","SNHBKWZ22407","CLWQHZN19/CLWQHZN46","-","-","BCR","X1G01U00020","-","-","8","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","107","","Backcross","X1G01U00013","X1G01U00008","CE","0","X1G01U00013/X1G01U00020","2QEDGlOoVVfER","1","16"
,"CLWNHZN43","BC0F1",,"CLWQHZN19","","20170413","X9","X1G01U00009","20170822","2017B","centro","SN17B18x14","cross","SNHBKWZ22408","CLWNHZN43/CLWQHZN19","-","-","BCR","X1G01U00013","-","-","1","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","107","","Backcross","X1G01U00017","X1G01U00009","CE","0","X1G01U00017/X1G01U00013","2QEDG9yn9tgsb","5","17"
,"CLWNHZN43","BC0F1",,"CLWQHZN69","","20170413","X10","X1G01U00010","20170822","2017B","centro","SN17B18x21","cross","SNHBKWZ22409","CLWNHZN43/CLWQHZN69","-","-","BCR","X1G01U00015","-","-","3","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","107","","Backcross","X1G01U00017","X1G01U00010","CE","0","X1G01U00017/X1G01U00015","2QEDGnxm8MGcT","5","18"
,"CLWQHZN69","BC0F1",,"CLWNHZN43","","20170413","X11","X1G01U00011","20170822","2017B","centro","SN17B21x18","cross","SNHBKWZ22410","CLWQHZN69/CLWNHZN43
","-","-","BCR","X1G01U00017","-","-","5","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","107","","Backcross","X1G01U00015","X1G01U00011","CE","0","X1G01U00015/X1G01U00017","2QEDG3otAe5lx","3","19"
,"CML576","BC0F1",,"CLWQHZN46","","20170413","X12","X1G01U00012","20170822","2017B","centro","SN17B25x28","cross","SNHWZ22450","CML576/CLWQHZN46","-","-","BCR","X1G01U00020","-","-","8","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","107","","Backcross","X1G01U00019","X1G01U00012","CE","0","X1G01U00019/X1G01U00020","2QEDG1u8CdTTa","7","20"
"A","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X112",,,,,"1",,"CLRCW96","CLRCW96","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLRCW96","CE","0","CLRCW96","2QEDGoO8uWqIG","","21"
"A","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X113",,,,,"2",,"CLRCW86","CLRCW86","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLRCW86","CE","0","CLRCW86","2QEDGMJVUpZT0","","22"
"A","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X114",,,,,"3",,"CML264","CML264","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CML264","CE","0","CML264","2QEDGmvNUPKM7","","23"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X115",,,,,"4",,"CML269","CML269","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CML269","CE","0","CML269","2QEDGU7nGnWeY","","24"
"A","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X116",,,,,"5",,"CLWQHZN12","CLWQHZN12","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQHZN12","CE","0","CLWQHZN12","2QEDGeFYgmoRR","","25"
"A","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X117",,,,,"6",,"CLWQHZN14","CLWQHZN14","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQHZN14","CE","0","CLWQHZN14","2QEDGVYF00DIz","","26"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X118",,,,,"7",,"CLWQHZN49","CLWQHZN49","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQHZN49","CE","0","CLWQHZN49","2QEDG5wfZQJ5h","","27"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X119",,,,,"8",,"CLWQHZN53","CLWQHZN53","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQHZN53","CE","0","CLWQHZN53","2QEDGNso9CIOl","","28"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X120",,,,,"9",,"CML550=CLWN201","CML550=CLWN201","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CML550=CLWN201","CE","0","CML550=CLWN201","2QEDGXSawpMki","","29"
"A","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X121",,,,,"10",,"CML549=CLRCW105","CML549=CLRCW105","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CML549=CLRCW105","CE","0","CML549=CLRCW105","2QEDGq099oWA6","","30"
"A","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X122",,,,,"11",,"CLWN207","CLWN207","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWN207","CE","0","CLWN207","2QEDGGHgPbIU8","","31"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X123",,,,,"12",,"CLQRCWQ10","CLQRCWQ10","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ10","CE","0","CLQRCWQ10","2QEDGzb0xVxMl","","32"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X124",,,,,"13",,"CLQRCWQ108","CLQRCWQ108","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ108","CE","0","CLQRCWQ108","2QEDGNLmJZC16","","33"
"A","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X125",,,,,"14",,"CLQRCWQ113","CLQRCWQ113","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ113","CE","0","CLQRCWQ113","2QEDGnEUeFDVr","","34"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X126",,,,,"19",,"CLQRCWQ119","CLQRCWQ119","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ119","CE","0","CLQRCWQ119","2QEDGFYWd9on6","","35"
"A","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X127",,,,,"20",,"CLQRCWQ120","CLQRCWQ120","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ120","CE","0","CLQRCWQ120","2QEDGcliKDqIb","","36"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X128",,,,,"21",,"CLQRCWQ121","CLQRCWQ121","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ121","CE","0","CLQRCWQ121","2QEDGiHSKb09y","","37"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X129",,,,,"22",,"CLQRCWQ122","CLQRCWQ122","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ122","CE","0","CLQRCWQ122","2QEDGcFQNhRg0","","38"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X130",,,,,"23",,"CLQRCWQ123","CLQRCWQ123","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ123","CE","0","CLQRCWQ123","2QEDGCu74RXqr","","39"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X131",,,,,"24",,"CLQRCWQ125","CLQRCWQ125","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ125","CE","0","CLQRCWQ125","2QEDGgqr1Ms01","","40"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X132",,,,,"25",,"CLQRCWQ126","CLQRCWQ126","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ126","CE","0","CLQRCWQ126","2QEDGJa4H8LVf","","41"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X133",,,,,"26",,"CLQRCWQ127","CLQRCWQ127","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ127","CE","0","CLQRCWQ127","2QEDGJumsT8OC","","42"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X134",,,,,"27",,"CLQRCWQ128","CLQRCWQ128","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ128","CE","0","CLQRCWQ128","2QEDG1ffTrggu","","43"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X135",,,,,"30",,"CML554=CLQRCWQ131","CML554=CLQRCWQ131","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CML554=CLQRCWQ131","CE","0","CML554=CLQRCWQ131","2QEDG1BJ3wcOi","","44"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X136",,,,,"32",,"CLQRCWQ134","CLQRCWQ134","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ134","CE","0","CLQRCWQ134","2QEDGkg8iks05","","45"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X137",,,,,"33",,"CLQRCWQ26","CLQRCWQ26","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ26","CE","0","CLQRCWQ26","2QEDGC4OCxOsR","","46"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X138",,,,,"34",,"CLQRCWQ48","CLQRCWQ48","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ48","CE","0","CLQRCWQ48","2QEDGMPOLAnaD","","47"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X139",,,,,"35",,"CLQRCWQ83","CLQRCWQ83","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ83","CE","0","CLQRCWQ83","2QEDGAuGKI2BL","","48"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X140",,,,,"37",,"CLQRCWQ92","CLQRCWQ92","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ92","CE","0","CLQRCWQ92","2QEDGgPTXB5Ap","","49"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X141",,,,,"38",,"CLQRCWQ97","CLQRCWQ97","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQRCWQ97","CE","0","CLQRCWQ97","2QEDGM2dT520t","","50"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X142",,,,,"40",,"CLQ6316","CLQ6316","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLQ6316","CE","0","CLQ6316","2QEDGfAl9etRt","","51"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X143",,,,,"42",,"CLWQ206","CLWQ206","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ206","CE","0","CLWQ206","2QEDG6fvbPgil","","52"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X144",,,,,"43",,"CLWQ208","CLWQ208","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ208","CE","0","CLWQ208","2QEDGKiGNg1DH","","53"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X145",,,,,"44",,"CLWQ219","CLWQ219","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ219","CE","0","CLWQ219","2QEDGXHAxl6ZI","","54"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X146",,,,,"45",,"CLWQ220","CLWQ220","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ220","CE","0","CLWQ220","2QEDGwinUuoBX","","55"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X147",,,,,"49",,"CLWQ226","CLWQ226","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ226","CE","0","CLWQ226","2QEDGE8dTHyHc","","56"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X148",,,,,"50",,"CLWQ227","CLWQ227","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ227","CE","0","CLWQ227","2QEDGkWOK8dDa","","57"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X149",,,,,"51",,"CLWQ228","CLWQ228","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ228","CE","0","CLWQ228","2QEDGxOQcvYCz","","58"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X150",,,,,"52",,"CLWQ229","CLWQ229","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ229","CE","0","CLWQ229","2QEDGitUn6dKN","","59"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X151",,,,,"53",,"CLWQ230","CLWQ230","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ230","CE","0","CLWQ230","2QEDGX7luyGb1","","60"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X152",,,,,"55",,"CLWQ232","CLWQ232","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ232","CE","0","CLWQ232","2QEDGzhEl9AaK","","61"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X153",,,,,"58",,"CLWQ235","CLWQ235","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ235","CE","0","CLWQ235","2QEDGXOWX0oPi","","62"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X154",,,,,"59",,"CLWQ236","CLWQ236","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ236","CE","0","CLWQ236","2QEDGDms6MD59","","63"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X155",,,,,"60",,"CLWQ237","CLWQ237","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ237","CE","0","CLWQ237","2QEDGWkP5tBJR","","64"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X156",,,,,"63",,"CLWQ240","CLWQ240","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ240","CE","0","CLWQ240","2QEDGw65lKnks","","65"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X157",,,,,"65",,"CLWQ242","CLWQ242","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ242","CE","0","CLWQ242","2QEDGyH2d0c5u","","66"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X158",,,,,"66",,"CLWQ243","CLWQ243","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ243","CE","0","CLWQ243","2QEDG7FJDNjtB","","67"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X159",,,,,"67",,"CLWQ244","CLWQ244","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ244","CE","0","CLWQ244","2QEDGlnSIt5sq","","68"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X160",,,,,"68",,"CLWQ245","CLWQ245","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ245","CE","0","CLWQ245","2QEDGwQ25G9lA","","69"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X161",,,,,"69",,"CLWQ246","CLWQ246","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ246","CE","0","CLWQ246","2QEDGYycuz7VR","","70"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X162",,,,,"70",,"CLWQ249","CLWQ249","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CLWQ249","CE","0","CLWQ249","2QEDGNhkmcfdl","","71"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X163",,,,,"71",,"CML144","CML144","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CML144","CE","0","CML144","2QEDG5p4wIkgi","","72"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X164",,,,,"72",,"CML159","CML159","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CML159","CE","0","CML159","2QEDGzFIkZjkB","","73"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X165",,,,,"73",,"CML491","CML491","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CML491","CE","0","CML491","2QEDGs6kpC3Nj","","74"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X166",,,,,"74",,"CML502","CML502","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CML502","CE","0","CML502","2QEDGwi87VjeJ","","75"
"B","CIMMYT No. S2017_31158624",,,"CIMMYT No. S2017_31158624","",,"X167",,,,,"75",,"CML503","CML503","-","-","ISE","","-","-","","","0","SN Centro Experimental","0","20170922","G","62","","Import","","CML503","CE","0","CML503","2QEDG53fqezkU","","76"
"A","CIMMYT No. S2017_31158624","increase",,"CIMMYT No. S2017_31158624","","20170520","X112","VI00001U0001","20170922","2017B","centro","1","selfed","CLRCW96","CLRCW96","CLRCW96","21","NSI","","CLRCW96","21","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170922","G","61","","Seed increase","","VI00001U0001","CE","0","CLRCW96","2QEDGdI1FfoKY","","77"
"A","CIMMYT No. S2017_31158624","increase",,"CIMMYT No. S2017_31158624","","20170520","X113","VI00001U0002","20170922","2017B","centro","2","selfed","CLRCW86","CLRCW86","CLRCW86","22","NSI","","CLRCW86","22","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170922","G","61","","Seed increase","","VI00001U0002","CE","0","CLRCW86","2QEDGQKHw39zC","","78"
"A","CIMMYT No. S2017_31158624","increase",,"CIMMYT No. S2017_31158624","","20170520","X114","VI00001U0003","20170922","2017B","centro","3","selfed","CML264","CML264","CML264","23","NSI","","CML264","23","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170922","G","61","","Seed increase","","VI00001U0003","CE","0","CML264","2QEDGuEfr3gQU","","79"
"B","CIMMYT No. S2017_31158624","increase",,"CIMMYT No. S2017_31158624","","20170520","X115","VI00001U0004","20170922","2017B","centro","4","selfed","CML269","CML269","CML269","24","NSI","","CML269","24","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170922","G","61","","Seed increase","","VI00001U0004","CE","0","CML269","2QEDGadszziew","","80"
"A","CIMMYT No. S2017_31158624","increase",,"CIMMYT No. S2017_31158624","","20170520","X116","VI00001U0005","20170922","2017B","centro","5","selfed","CLWQHZN12","CLWQHZN12","CLWQHZN12","25","NSI","","CLWQHZN12","25","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170922","G","61","","Seed increase","","VI00001U0005","CE","0","CLWQHZN12","2QEDGOjl5Xo8c","","81"
"A","CIMMYT No. S2017_31158624","increase",,"CIMMYT No. S2017_31158624","","20170520","X117","VI00001U0006","20170922","2017B","centro","6","selfed","CLWQHZN14","CLWQHZN14","CLWQHZN14","26","NSI","","CLWQHZN14","26","","","0","SN Centro Experimental","0","20170922","G","61","","Seed increase","","VI00001U0006","CE","0","CLWQHZN14","2QEDGCRCatwgf","","82"
"B","CIMMYT No. S2017_31158624","increase",,"CIMMYT No. S2017_31158624","","20170520","X118","VI00001U0007","20170922","2017B","centro","7","selfed","CLWQHZN49","CLWQHZN49","CLWQHZN49","27","NSI","","CLWQHZN49","27","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170922","G","61","","Seed increase","","VI00001U0007","CE","0","CLWQHZN49","2QEDGxiqOd3GC","","83"
